mes,inalterados,n_comissionados,rotatividade,percent_rotat
2013-01-01,NA,93988,0.03472783759628889,3.4727837596288893
2013-02-01,90724,93810,0.03323739473403688,3.3237394734036885
2013-03-01,90692,94299,0.036935704514363885,3.6935704514363885
2013-04-01,90816,94767,0.039686810809670035,3.9686810809670034
2013-05-01,91006,95535,0.03508661747003716,3.5086617470037162
2013-06-01,92183,95316,0.027078349909773806,2.7078349909773807
2013-07-01,92735,95770,0.03910410358149734,3.9104103581497336
2013-08-01,92025,94471,0.01775147928994083,1.7751479289940828
2013-09-01,92794,96686,0.03329334133173365,3.329334133173365
2013-10-01,93467,97354,0.026316330094295046,2.6316330094295046
2013-11-01,94792,97703,0.028033939592438308,2.803393959243831
2013-12-01,94964,98029,0.026063715839190444,2.6063715839190444
2014-01-01,95474,99396,0.0280494184876655,2.8049418487665503
2014-02-01,96608,99744,0.030467998075072184,3.0467998075072185
2014-03-01,96705,100015,0.03320501924711293,3.320501924711293
2014-04-01,96694,100850,0.03316807139315815,3.316807139315815
2014-05-01,97505,101002,0.02841527890536821,2.841527890536821
2014-06-01,98132,101211,0.026173044431929336,2.6173044431929338
2014-07-01,98562,101342,0.027550275305401512,2.755027530540151
2014-08-01,98550,102653,0.03289723632041928,3.2897236320419276
2014-09-01,99276,102598,0.026686680052242735,2.6686680052242737
2014-10-01,99860,103181,0.02442310115234394,2.442310115234394
2014-11-01,100661,103297,0.019768241091222397,1.9768241091222396
2014-12-01,101255,103736,0.04113326135574921,4.113326135574921
2015-01-01,99469,102279,0.010618015428387058,1.0618015428387058
2015-02-01,101193,107875,0.060876013904982616,6.0876013904982615
2015-03-01,101308,104726,0.05377843133510303,5.377843133510303
2015-04-01,99094,102626,0.009305634049850915,0.9305634049850915
2015-05-01,101671,106799,0.043961085777956724,4.3961085777956725
2015-06-01,102104,105090,0.027357503092587308,2.735750309258731
2015-07-01,102215,105283,0.031154127446976244,3.1154127446976245
2015-08-01,102003,105268,0.028584185127484136,2.8584185127484134
2015-09-01,102259,105044,0.026036708426944898,2.60367084269449
2015-10-01,102309,105208,0.02356284693179226,2.356284693179226
2015-11-01,102729,105097,0.022721866466216923,2.2721866466216922
2015-12-01,102709,105606,0.028085525443630098,2.80855254436301
2016-01-01,102640,105488,0.029472546640376157,2.9472546640376156
2016-02-01,102379,105224,0.029118832205580477,2.911883220558048
2016-03-01,102160,105714,0.035889286187259964,3.5889286187259963
2016-04-01,101920,106173,0.038748080962203196,3.8748080962203195
2016-05-01,102059,105796,0.034613785020227605,3.4613785020227605
2016-06-01,102134,105624,0.035389684162690296,3.5389684162690296
2016-07-01,101886,105577,0.03323640565653504,3.3236405656535037
2016-08-01,102068,105241,0.03984188671715396,3.9841886717153963
2016-09-01,101048,105412,0.035043448563730886,3.5043448563730886
2016-10-01,101718,104951,0.032977294165848825,3.2977294165848825
2016-11-01,101490,104551,0.03649893353482989,3.649893353482989
2016-12-01,100735,104728,0.045833015048506606,4.5833015048506605
2017-01-01,99928,104499,0.05562732657728782,5.562732657728782
2017-02-01,98686,103070,0.04327156301542641,4.327156301542641
2017-03-01,98610,103808,0.06673859432799013,6.673859432799014
2017-04-01,96880,103236,0.04571079855864233,4.571079855864233
2017-05-01,98517,103040,0.04265333850931677,4.265333850931677
2017-06-01,98645,103169,0.0340703118184726,3.4070311818472603
2017-07-01,99654,103407,0.0442136412428559,4.42136412428559
2017-08-01,98835,103596,0.03513649175643847,3.5136491756438475
2017-09-01,99956,103585,0.030989042815079405,3.0989042815079406
2017-10-01,100375,103510,0.029117959617428267,2.911795961742827
2017-11-01,100496,103187,0.02064213515268396,2.064213515268396
2017-12-01,101057,103385,0.026918798665183537,2.6918798665183536
2018-01-01,100602,103929,0.03151189754543968,3.1511897545439678
2018-02-01,100654,103599,0.031776368497765425,3.1776368497765426
2018-03-01,100307,104366,0.03345917252745147,3.3459172527451466
2018-04-01,100874,103980,0.03387189844200808,3.387189844200808
2018-05-01,100458,104370,0.02977867203219316,2.977867203219316
2018-06-01,101262,103175,0.022922219529924886,2.2922219529924885
2018-07-01,100810,104369,0.03515411664383102,3.515411664383102
2018-08-01,100700,104558,0.0369460012624572,3.69460012624572
2018-09-01,100695,103860,0.027488927402272288,2.748892740227229
2018-10-01,101005,103524,0.02278698659248097,2.278698659248097
2018-11-01,101165,103447,0.0220016046864578,2.2001604686457803
2018-12-01,101171,103841,0.026790959255014877,2.6790959255014877
2019-01-01,101059,104404,0.09336807018888166,9.336807018888166
2019-02-01,94656,104998,0.06968704165793634,6.968704165793634
2019-03-01,97681,101535,0.0353572659674004,3.53572659674004
2019-04-01,97945,101984,0.03982977721995607,3.9829777219956073
2019-05-01,97922,102410,0.04504442925495557,4.504442925495557
2019-06-01,97797,102339,0.03622274988029979,3.622274988029979
2019-07-01,98632,101409,0.03529272549773689,3.529272549773689
2019-08-01,97830,101364,0.1180004735409021,11.800047354090209
2019-09-01,89403,92388,0.03722344893276183,3.7223448932761833
2019-10-01,88949,92147,0.034759677471865605,3.4759677471865604
2019-11-01,88944,92197,0.030597524865234225,3.0597524865234225
2019-12-01,89376,91968,0.02711812804453723,2.711812804453723
2020-01-01,89474,93088,0.03734101065658302,3.734101065658302
2020-02-01,89612,93283,0.03433637425897538,3.4336374258975377
2020-03-01,90080,93652,0.034564131038312046,3.4564131038312045
2020-04-01,90415,93205,0.029043506249664716,2.9043506249664715
2020-05-01,90498,92941,0.024036754500166773,2.4036754500166775
2020-06-01,90707,92843,0.02582854927135056,2.582854927135056
2020-07-01,90445,93252,0.03330759661991164,3.3307596619911637
2020-08-01,90146,93582,0.029118847641640487,2.9118847641640486
2020-09-01,90857,100458,0.09546278046546816,9.546278046546815
2020-10-01,90868,93360,0.02287917737789203,2.2879177377892033
2020-11-01,91224,93023,0.020145555400277352,2.014555540027735
2020-12-01,91149,93481,0.02798429627410918,2.798429627410918
2021-01-01,90865,93707,0.030477979233141602,3.0477979233141603
2021-02-01,90851,93506,0.02929223793125575,2.929223793125575
2021-03-01,90767,93675,0.032025620496397116,3.2025620496397114
2021-04-01,90675,93862,0.033027210159596004,3.3027210159596003
2021-05-01,90762,93470,0.0338932277736172,3.3893227773617203
2021-06-01,90302,93162,0.028165990425280694,2.8165990425280696
2021-07-01,90538,92960,0.02749569707401033,2.749569707401033
2021-08-01,90404,93088,0.03045505328291509,3.045505328291509
2021-09-01,90253,93272,0.03052362981387769,3.0523629813877693
2021-10-01,90425,92666,0.023751969438629054,2.3751969438629055
2021-11-01,90465,92668,0.027690249061164587,2.7690249061164587
2021-12-01,90102,93014,0.030318016642655946,3.0318016642655947
2022-01-01,90194,92978,0.02856589730904085,2.856589730904085
2022-02-01,90322,93048,0.029135499957011434,2.9135499957011435
2022-03-01,90337,93640,0.07090986757795814,7.0909867577958146
2022-04-01,87000,93893,0.0689401765839839,6.89401765839839
2022-05-01,87420,93402,0.052675531573199715,5.267553157319972
2022-06-01,88482,93890,0.05068697411864948,5.068697411864949
2022-07-01,89131,93778,0.05649512678879908,5.649512678879908
2022-08-01,88480,94038,0.039058678406601585,3.9058678406601586
2022-09-01,90365,94690,0.07959657830816348,7.959657830816348
2022-10-01,87153,93877,0.10731062986674052,10.731062986674052
2022-11-01,83803,93605,0.04055338924202767,4.055338924202767
2022-12-01,89809,93874,0.04362230223491063,4.362230223491062
2023-01-01,89779,93935,0.11234364188002342,11.234364188002342
2023-02-01,83382,93189,0.08058891070834541,8.058891070834541
2023-03-01,85679,91511,0.04147042432057348,4.147042432057348
2023-04-01,87716,91580,0.050131032976632454,5.013103297663245
2023-05-01,86989,91562,0.04079203162884166,4.079203162884166
2023-06-01,87827,92097,0.04382336015288229,4.382336015288229
2023-07-01,88061,91986,0.051149087904681145,5.114908790468115
2023-08-01,87281,92972,0.08516542614980854,8.516542614980855
2023-09-01,85054,92909,0.0657417473011226,6.574174730112261
2023-10-01,86801,92909,0.03897361934796414,3.8973619347964137
2023-11-01,89288,93407,0.026529060991146273,2.6529060991146274
2023-12-01,90929,93656,0.04040317758605962,4.040317758605962
2024-01-01,89872,93597,0.031112108294069254,3.1112108294069256
2024-02-01,90685,94438,0.03628835849975645,3.628835849975645
2024-03-01,91011,95035,0.03185142315988846,3.185142315988846
